DIVISI,Material SAP,Material Description Maximo,Base Unit of Measure,Status,Lokasi Sistem,Lokasi Fisik,StoreRoom,Penempatan pada Alat,Deskripsi Penempatan
ME,11-100-001949,LOADCELL AUTO-CFBHLY-500KG NO : 14011920 ( Skylift Sinoboom ),PC,ACTIVE,,,TPS,NULL,No Placement Information Available
ME,11-100-001948,Automatic Platform Leveler PN. M410B-20-15TR,PC,ACTIVE,,,TPS,NULL,No Placement Information Available
ME,11-100-001946,Actuator Comp PN. 32911-02370,PC,ACTIVE,,,TPS,NULL,No Placement Information Available
ME,11-100-001945,Steering (EPS) Assy PN. 32911-00670,PC,ACTIVE,,,TPS,NULL,No Placement Information Available
ME,11-100-001944,INJECTOR ASSY PN. 923349.0825,PC,ACTIVE,RR 2,RR 2,TPS,NULL,No Placement Information Available
ME,11-100-001943,GEAR PN. 923941-0403,PC,ACTIVE,,,TPS,NULL,No Placement Information Available
ME,11-100-001942,JOYSTICK REACHSTACKER ( REPAIR ),PC,ACTIVE,,,TPS,NULL,No Placement Information Available
ME,11-100-001941,CYLINDER TWISTLOCK REACHSTACKER,PC,ACTIVE,,,TPS,NULL,No Placement Information Available
ME,11-100-001940,HOSE ROTATOR R2 1/2” P.60 + NEPEL PRESS,PC,ACTIVE,,,TPS,NULL,No Placement Information Available
ME,11-100-001939,SEAL KIT LIFTING CYLINDER DRD 420 PN. 454452.6700,UN,ACTIVE,,,TPS,NULL,No Placement Information Available
ME,11-100-001938,Wheel Clamp PN. A02104.0200,PC,ACTIVE,,,TPS,NULL,No Placement Information Available
ME,11-100-001937,Single Disc Horn 24V YZK,PC,ACTIVE,2D 1,2D 1,TPS,NULL,No Placement Information Available
ME,11-100-001936,Seal Hub PN 924015-0777,PC,ACTIVE,,,TPS,NULL,No Placement Information Available
ME,11-100-001935,Printed Board (Pedal Gas) PN 24200-00002,PC,ACTIVE,,,TPS,NULL,No Placement Information Available
ME,11-100-001934,Hidroulic Cover Battery / Spring Gas PN 31850-00000,PC,ACTIVE,,,TPS,NULL,No Placement Information Available
ME,11-100-001933,SPIDER 921597-0002,UN,ACTIVE,,,TPS,NULL,No Placement Information Available
ME,11-100-001932,SIDE PLATE (BESI 4 DAN KAYU 2) 01306-0100,UN,ACTIVE,,,TPS,NULL,No Placement Information Available
ME,11-100-001931,GLIDE PLATE 92340-0010,UN,ACTIVE,,,TPS,NULL,No Placement Information Available
ME,11-100-001930,FLASHER R.4142 24 VOLT - 20 AMP,UN,ACTIVE,,,TPS,NULL,No Placement Information Available
ME,11-100-001929,HOLLOW STUD PN. 1K.815414.3,UN,ACTIVE,,,TPS,NULL,No Placement Information Available
ME,11-100-001928,NEEDLE BRG PN.2426.055.0002,UN,ACTIVE,,,TPS,NULL,No Placement Information Available
ME,11-100-001927,GEAR PN. 1K. 507253103,UN,ACTIVE,,,TPS,NULL,No Placement Information Available
ME,11-100-001926,RING PN/ 20R35-2,UN,ACTIVE,,,TPS,NULL,No Placement Information Available
ME,11-100-001925,HUB PN. 1K. 507250251,UN,ACTIVE,,,TPS,NULL,No Placement Information Available
ME,11-100-001924,SENDER PN. 2761454,UN,ACTIVE,,,TPS,NULL,No Placement Information Available
ME,11-100-001923,LOCK PN. 27020000G703,UN,ACTIVE,,,TPS,NULL,No Placement Information Available
ME,11-100-001922,"IGUS EMOUNTING BRACKET ,PN.380.07.12C.",UN,ACTIVE,,,TPS,NULL,No Placement Information Available
ME,11-100-001921,TIROAD PN. 92355-01400,UN,ACTIVE,,,TPS,NULL,No Placement Information Available
ME,11-100-001920,SOKET END PN.92355-01500,UN,ACTIVE,,,TPS,NULL,No Placement Information Available
ME,11-100-001919,BULB 24V / 5W,UN,ACTIVE,,,TPS,NULL,No Placement Information Available
RTG,11-100-001918,Snap Ring Type H 105,UN,ACTIVE,,,TPS,GENERAL_MAINTENANCE,General Maintenance Components
RTG,11-100-001917,Cabin Seat set. W Gessmann type : Sockel KST4/8. F No. 0820430/30-02 (RTG Kone 50-53),PC,ACTIVE,-,-,TPS,CABIN,Operator Cabin Components
RTG,11-100-001916,CABIN OPERATOR,PC,ACTIVE,-,-,TPS,CABIN,Operator Cabin Components
RTG,11-100-001915,"6SL3054-0EH00-1BA0 Basic V 4.7 (V 4.8 to be released shortly) / for compact drive systems, S120 AC/AC SIEMENS",UN,ACTIVE,-,-,TPS,DRIVE_SYSTEM,Drive System and Wheels
RTG,11-100-001914,NOZZLE PIST COOLING 3013591.0,PC,ACTIVE,,,TPS,COOLING_SYSTEM,Cooling System Components
RTG,11-100-001913,YXT 117 YHBC - S,PC,ACTIVE,2B 3,-,TPS,GENERAL_MAINTENANCE,General Maintenance Components
RTG,11-100-001912,FRICTION DISC HOIST 8-00589250214E,PC,ACTIVE,-,-,TPS,HOIST_SYSTEM,Hoist and Lifting System
RTG,11-100-001911,OP PANEL/ COMFORT PANEL KP 700 SIEMENS,PC,ACTIVE,,,TPS,CONTROL_SYSTEM,Control Panel and Switches
RTG,11-100-001910,CONTROL BOARD HOIST INVERTER 60C B00062 110KW,PC,ACTIVE,-,-,TPS,CONTROL_SYSTEM,Control Panel and Switches
CC,11-100-001909,Stican Cabin Operator 44kz Pn.7170-0003-0044,PC,ACTIVE,,,TPS,NULL,No Placement Information Available
CC,11-100-001908,Stican with LoF setting PN.7170-0001-0044 Stican bridge 44k/CAN125k,PC,ACTIVE,,2G 1,TPS,NULL,No Placement Information Available
CC,11-100-001907,Optical Power Meter OPM Visual Fault Locator VFL RJ45,PC,ACTIVE,,,TPS,NULL,No Placement Information Available
CC,11-100-001906,"Jaure Lamidisc Coupling SXFD-228.6, 630x30 mm",UN,ACTIVE,,,TPS,NULL,No Placement Information Available
CC,11-100-001905,"Spie 15x10x102 mm, Material SCM 440",PC,ACTIVE,KK 2,KK 2,TPS,NULL,No Placement Information Available
CC,11-100-001904,"Spie 22x16x150 mm, Material SCM 440",PC,ACTIVE,KK 2,KK 2,TPS,NULL,No Placement Information Available
CC,11-100-001903,Manifold Block PN.79968 Bromma,PC,ACTIVE,,,TPS,NULL,No Placement Information Available
CC,11-100-001902,Shock Absorber PN.78238 Bromma,PC,ACTIVE,,,TPS,NULL,No Placement Information Available
CC,11-100-001901,Restrictor PN.57721 Bromma,PC,ACTIVE,,,TPS,NULL,No Placement Information Available
CC,11-100-001900,Landing Buffer Soft Assy PN.49854 Bromma,PC,ACTIVE,,,TPS,NULL,No Placement Information Available
CC,11-100-001899,20'' Buffer PN.46758 Bromma,PC,ACTIVE,,,TPS,NULL,No Placement Information Available
CC,11-100-001898,INTERFACE MODULE 6ES7460-1BA01-0AB0 . ( 52571011 ),PC,ACTIVE,,,TPS,NULL,No Placement Information Available
CC,11-100-001897,INTERFACE MODULE 6ES7461-1BA01-0AA0 . ( 52423811 ),PC,ACTIVE,,,TPS,NULL,No Placement Information Available
CC,11-100-001896,ASSEMBLY WORK ( Connector) . 52840693,PC,ACTIVE,,,TPS,NULL,No Placement Information Available
CC,11-100-001895,Parallel key 18 x 18 lg = 94 pn. 9807 - 1818 - 0094,PC,ACTIVE,,,TPS,NULL,No Placement Information Available
CC,11-100-001894,Cylinder TLS CY 250 E 140/90-1400 AG63185 CC IMPSA,UN,ACTIVE,,,TPS,NULL,No Placement Information Available
CC,11-100-001893,CPU Module 414-2XL07-0AB0 SIEMENS,PC,ACTIVE,,,TPS,NULL,No Placement Information Available
CC,11-100-001892,Load Cell Magtrol 5200V,PC,ACTIVE,,,TPS,NULL,No Placement Information Available
CC,11-100-001891,Module 1P 6GK7443-1EX30-0XE0 SIEMENS,PC,ACTIVE,,,TPS,NULL,No Placement Information Available
CC,11-100-001890,Coil Solenoid Type Rexroth R901017022 193994 1305 110V 50Hz,PC,ACTIVE,,,TPS,NULL,No Placement Information Available
CC,11-100-001889,Coupling elbow WE12LR3/80MD (6020-0090-0120),PC,ACTIVE,,,TPS,NULL,No Placement Information Available
CC,11-100-001888,Distance measure device long -t (5550-0535-0000),UN,ACTIVE,,,TPS,NULL,No Placement Information Available
CC,11-100-001887,Blocking Unit Hydraulic (5550-1000-0000),UN,ACTIVE,,,TPS,NULL,No Placement Information Available
CC,11-100-001886,"Elbow coupling 1/8"" x 3/16"" PN. 6816-0018-0316",PC,ACTIVE,,,TPS,NULL,No Placement Information Available
CC,11-100-001885,Flipper Arm SSX40/SSX45,PC,ACTIVE,,,TPS,NULL,No Placement Information Available
CC,11-100-001884,"Power Plug Male 32A, 415V / 3P+N+E Mennekes",PC,ACTIVE,2E 2,2E 2,TPS,NULL,No Placement Information Available
CC,11-100-001883,Han CGM-M M50x1.5 D.32-38 mm,PC,ACTIVE,,,TPS,NULL,No Placement Information Available
CC,11-100-001882,Han 48B Hood Side Entry HC-M50 19300480549,PC,ACTIVE,,,TPS,NULL,No Placement Information Available
CC,11-100-001881,Han B Base Panel 1 Lever without cover 09300480302,PC,ACTIVE,,,TPS,NULL,No Placement Information Available
CC,11-100-001880,"Spreaderflex 3GSLTOE-J, 42x2.5 Black 0.6/1 KV 5DE56900LA00 4 Lenghts of 70 meters each 20157103",RLL,ACTIVE,,,TPS,NULL,No Placement Information Available
CC,11-100-001879,Transducer Micro Pulse PN. BTL7 - E100 - M1300 - B - S32 Brand. Balluff,PC,ACTIVE,,,TPS,NULL,No Placement Information Available
CC,11-100-001878,Push Button Emergency XB4-BJ542,PC,ACTIVE,2G 2,2G 2,TPS,NULL,No Placement Information Available
CC,11-100-001877,Sheaves Dia 744mm Sheaves Block on TCT Assy,PC,ACTIVE,,,TPS,NULL,No Placement Information Available
CC,11-100-001876,Sheaves Dia 857mm Sheaves Block on Trolley,PC,ACTIVE,,,TPS,NULL,No Placement Information Available
CC,11-100-001875,Dynareg Regenerative Unit D2R250FV54E00EL,UN,ACTIVE,,,TPS,NULL,No Placement Information Available
